./testForProjectRootMapping - file(s) not in client view.

w32:./testForProjectRootMapping - file(s) not in client view.\n
G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/DynamicsManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/EditorBuildSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/EditorSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/GraphicsSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/InputManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/NavMeshAreas.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/PackageManagerSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/Physics2DSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/PresetManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/ProjectSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/ProjectVersion.txt - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/QualitySettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/TagManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/TimeManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/TimelineSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/URPProjectSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/UnityConnectSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/VFXManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/VersionControlSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/XRSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/Packages/manifest.json - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/Packages/packages-lock.json - file(s) not in client view.

w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/Packages/manifest.json - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/Packages/packages-lock.json - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/AudioManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/ClusterInputManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/DynamicsManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/EditorBuildSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/EditorSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/GraphicsSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/InputManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/NavMeshAreas.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/PackageManagerSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/Physics2DSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/PresetManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/ProjectSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/ProjectVersion.txt - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/QualitySettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/TagManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/TimeManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/TimelineSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/URPProjectSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/UnityConnectSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/VFXManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/VersionControlSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/XRSettings.asset - file(s) not in client view.\n
G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/VersionControlSettings.asset - file(s) not in client view.

w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/VersionControlSettings.asset - file(s) not in client view.\n
./testForProjectRootMapping - file(s) not in client view.

w32:./testForProjectRootMapping - file(s) not in client view.\n
G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/AudioManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/ClusterInputManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/DynamicsManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/EditorBuildSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/EditorSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/GraphicsSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/InputManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/NavMeshAreas.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/PackageManagerSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/Physics2DSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/PresetManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/ProjectSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/ProjectVersion.txt - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/QualitySettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/TagManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/TimeManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/TimelineSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/URPProjectSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/UnityConnectSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/VFXManager.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/VersionControlSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/XRSettings.asset - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/Packages/manifest.json - file(s) not in client view.

G:/2. Perforce/FG21-FT_GP2_Team12/Movr/Packages/packages-lock.json - file(s) not in client view.

w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/Packages/manifest.json - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/Packages/packages-lock.json - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/AudioManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/ClusterInputManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/DynamicsManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/EditorBuildSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/EditorSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/GraphicsSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/InputManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/NavMeshAreas.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/PackageManagerSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/Physics2DSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/PresetManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/ProjectSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/ProjectVersion.txt - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/QualitySettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/TagManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/TimeManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/TimelineSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/URPProjectSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/UnityConnectSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/VFXManager.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/VersionControlSettings.asset - file(s) not in client view.\n
w1:G:/2. Perforce/FG21-FT_GP2_Team12/Movr/ProjectSettings/XRSettings.asset - file(s) not in client view.\n
